Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,,Planning Time - zooming,Planning Time non_zooming,,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
64,1,5.77,6.04,1.0467937608,3.77,3.97,1.0530503979,0.33,1,2,2,5,C,0.34,1,2,2,5,C
65,1,7.84,7.92,1.0102040816,4.94,5.05,1.0222672065,0.35,1,3,3,7,C,0.34,1,3,3,7,C
66,1,6.16,6.4,1.038961039,3.76,3.97,1.0558510638,0.35,1,2,2,7,C,0.34,1,2,2,7,C
67,1,9.3,9.6,1.0322580645,5.19,5.54,1.0674373796,0.4,1,4,3,15,C,0.37,1,4,3,15,C
68,1,7.99,8.41,1.0525657071,4.7,5.06,1.0765957447,0.35,1,3,3,9,C,0.37,1,3,3,9,C
69,1,8.89,9.11,1.0247469066,5.17,5.41,1.0464216634,0.38,1,4,3,13,C,0.33,1,4,3,13,C
70,1,6.35,6.74,1.0614173228,4.01,4.31,1.0748129676,0.36,1,3,2,9,C,0.39,1,3,2,9,C
71,1,9.29,9.51,1.0236813778,5.15,5.46,1.0601941748,0.4,1,4,3,15,C,0.36,1,4,3,15,C
72,1,6.59,6.68,1.0136570561,4.18,4.24,1.014354067,0.38,1,3,2,9,C,0.37,1,3,2,9,C
73,1,6.88,6.98,1.0145348837,4.11,4.19,1.0194647202,0.38,1,3,2,11,C,0.37,1,3,2,11,C
74,1,9.29,9.62,1.0355220667,5.17,5.49,1.0618955513,0.4,1,4,3,15,C,0.37,1,4,3,15,C
75,1,8.18,8.34,1.0195599022,4.83,5.07,1.049689441,0.36,1,3,3,9,C,0.35,1,3,3,9,C
76,1,8.95,9.22,1.0301675978,5.21,5.5,1.0556621881,0.38,1,4,3,13,C,0.38,1,4,3,13,C
77,1,5.88,5.83,0.9914965986,3.81,3.87,1.0157480315,0.35,1,2,2,5,C,0.34,1,2,2,5,C
78,1,8.21,8.5,1.0353227771,4.83,5.15,1.066252588,0.38,1,3,3,9,C,0.37,1,3,3,9,C
79,1,6.85,7.09,1.0350364964,4.11,4.32,1.0510948905,0.34,1,3,2,11,C,0.37,1,3,2,11,C
80,1,6.4,6.63,1.0359375,4.07,4.22,1.0368550369,0.34,1,3,2,9,C,0.38,1,3,2,9,C
81,1,6.88,6.95,1.0101744186,4.17,4.19,1.0047961631,0.37,1,3,2,11,C,0.35,1,3,2,11,C
82,1,6.89,6.92,1.0043541364,4.13,4.18,1.0121065375,0.35,1,3,2,11,C,0.37,1,3,2,11,C
83,1,8.92,9.12,1.0224215247,5.19,5.4,1.0404624277,0.37,1,4,3,13,C,0.37,1,4,3,13,C
84,1,9.05,9.26,1.0232044199,5.24,5.5,1.0496183206,0.39,1,4,3,13,C,0.37,1,4,3,13,C
85,1,9.01,9.19,1.0199778024,5.28,5.5,1.0416666667,0.39,1,4,3,13,C,0.37,1,4,3,13,C
