Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
186,4,52.38,106.62,2.04,29.21,106.61,3.65,1,1,1.00,7,0,0.00,8,0,0.00,41,0,0.00,C,A
187,4,27.27,104.32,3.83,15.94,104.30,6.54,1,1,1.00,3,0,0.00,6,0,0.00,21,0,0.00,C,A
188,4,22.55,97.08,4.31,13.80,97.07,7.04,1,1,1.00,3,0,0.00,5,1,0.20,17,0,0.00,C,A
189,4,17.21,32.46,1.89,11.37,32.45,2.85,1,1,1.00,3,0,0.00,3,1,0.33,11,0,0.00,C,A
190,4,33.64,62.61,1.86,19.81,62.60,3.16,1,1,1.00,5,0,0.00,6,1,0.17,25,0,0.00,C,A
191,4,27.69,301.01,10.87,16.80,2.61,0.16,1,1,1.00,4,0,0.00,4,0,0.00,20,0,0.00,C,T
192,4,50.37,184.57,3.66,28.87,184.56,6.39,1,1,1.00,6,0,0.00,10,1,0.10,39,0,0.00,C,A
193,4,37.54,214.89,5.72,23.00,214.88,9.34,1,1,1.00,6,0,0.00,6,1,0.17,27,0,0.00,C,A
194,4,32.04,229.94,7.18,20.08,229.93,11.45,1,1,1.00,4,0,0.00,8,1,0.12,23,0,0.00,C,A
195,4,13.09,301.01,23.00,8.59,1.86,0.22,1,1,1.00,2,0,0.00,2,0,0.00,8,0,0.00,C,T
196,4,29.41,29.87,1.02,17.93,29.86,1.67,1,1,1.00,3,0,0.00,7,1,0.14,21,0,0.00,C,A
197,4,43.67,218.75,5.01,25.54,218.74,8.56,1,1,1.00,5,0,0.00,10,1,0.10,33,0,0.00,C,A
198,4,25.25,32.23,1.28,15.10,32.22,2.13,1,1,1.00,3,0,0.00,6,1,0.17,19,0,0.00,C,A
